Manager_Name,Attacking,Defending,Fitness,Mental,Tactical,Technical,WorkingwithYoungsters,BirthDate
Pep Guardiola,18,13,13,15,18,18,16,1971-01-18
Christophe Galtier,13,16,11,14,14,10,13,1966-08-26
Xavi,11,7,5,13,15,13,16,1980-01-25
Jurgen Kloop,17,15,17,18,14,17,17,1967-06-16
Carlo Ancelotti,11,16,4,17,11,13,12,1959-06-10
Antonio Conte,13,15,10,19,16,10,10,1969-07-31
Julien Nagelsmann,16,15,8,15,18,14,19,1987-07-23
Diego Simeone,12,16,6,19,16,12,14,1970-04-28
Graham Potter,12,9,8,15,18,12,16,1975-05-20
Erik ten Hag,14,15,7,14,15,14,18,1970-02-02
Stefano Pioli,16,15,8,16,15,15,12,1965-10-20
Mikel Arteta,13,10,7,15,15,15,14,1982-03-26
Maurizio Sarri,18,14,13,14,15,13,14,1959-01-10
David Moyes,11,18,10,18,14,10,15,1963-04-25
Simone Inzaghi,16,10,2,14,14,8,5,1976-04-05
Jose Mourinho,9,19,11,18,18,8,9,1963-01-26
Massimiliano Allegri,12,18,7,15,11,15,8,1967-08-11
Edin Terzic,11,11,4,14,14,11,18,1982-10-30
Gennaro Gattuso,13,11,9,16,13,7,12,1978-01-09
Marco Rose,12,15,8,16,13,12,17,1976-09-11
Imanol Alguacil,10,11,8,13,14,12,18,1971-07-04
Luciano Spalletti,14,14,11,13,17,15,10,1959-03-07
Manuel Pellegrini,17,10,14,11,10,15,13,1953-09-16
Quique Setien,14,9,8,11,16,14,14,1958-09-27
Julen Lopetegui,14,14,10,16,15,16,14,1966-08-28
Jorge Sampaoli,15,8,13,15,13,14,8,1960-03-13
Ernesto Valverde,15,14,13,14,14,15,13,1964-02-09
Carlos Carvalhal,11,14,9,12,8,11,12,1965-12-04
Unai Emery,13,14,14,13,15,13,15,1971-11-03
Daniel Farke,12,12,8,11,14,14,20,1976-10-30
Brendan Rodgers,15,13,11,15,16,14,16,1973-01-26
Xabi Alonso,9,9,7,9,9,9,15,1981-11-25
Roberto de Zerbi,17,8,8,13,12,14,13,1979-06-06
Frank Lampard,14,2,7,13,11,13,16,1978-06-20
Marco Silva,14,12,12,14,14,11,11,1977-07-12
Eddie Howe,16,13,14,15,12,10,14,1977-11-29
Nathan Jones,12,13,16,13,12,10,14,1973-05-28
Phillipe Clement,7,15,12,13,15,7,14,1974-03-22
Gian Piero Gasperini,17,14,14,15,16,15,13,1958-01-26
Igor Tudor,7,19,7,13,13,8,13,1978-04-16
Gary O'Neil,10,10,3,14,11,14,11,1983-05-18
Thiago Motta,10,12,11,11,12,12,12,1982-08-28
Patrick Vieira,12,15,6,12,14,12,12,1976-06-23
Alessio Dionisi,16,10,9,11,13,12,13,1980-04-01
Vincenzo Italiano,13,13,13,13,14,11,10,1977-12-10
Oliver Glasner,13,14,8,11,13,11,16,1974-08-28
Bruno Genesio,12,10,1,12,11,12,11,1966-09-01
Abdullah Avci,10,10,5,13,16,13,9,1963-07-31
Andre Breitenreiter,13,9,8,14,14,11,14,1973-10-02
Okan Buruk,12,6,1,12,10,10,5,1973-10-19
Diego Martinez,11,14,11,12,15,11,11,1980-12-16
Romain Pitau,8,9,5,9,10,9,16,1977-08-08
Lucien Favre,17,12,5,10,15,19,17,1957-11-02
Andoni Iraola,13,13,11,14,14,12,15,1982-06-22
Steve Cooper,9,15,11,10,14,7,18,1979-12-10
Laurent Blanc,7,15,1,14,13,12,13,1965-11-19
Andrea Sottil,12,16,8,13,14,10,15,1974-01-04
Rubi,13,13,9,14,15,13,15,1970-01-01
Thomas Frank,13,7,13,13,16,12,12,1973-10-09
Sergio Gonzalez,8,8,6,8,13,8,14,1976-11-10
Quique Sanchez Flores,15,12,13,15,12,10,9,1965-02-05
Salvatore Bocchetti,8,8,7,8,9,8,11,1986-11-30
Paulo Fonseca,15,13,10,14,12,12,13,1973-03-05
Franck Haise,10,13,1,15,13,10,15,1971-04-15
Niko Kovac,12,16,15,16,14,12,14,1971-10-15
Michel,11,11,5,11,11,14,13,1975-10-30
Steffen Baumgart,15,11,12,15,10,8,12,1972-01-05
Paolo Zanetti,10,9,10,10,13,10,13,1982-12-16
Jesse Marsch,13,14,9,13,13,11,14,1973-11-08
Christian Streich,17,12,10,15,15,14,20,1965-06-11
Urs Fischer,8,19,4,15,18,8,5,1966-02-20
Senol Gunes,15,5,5,15,15,14,5,1952-06-01
Antonie Kombouare,11,14,1,14,10,10,7,1963-11-16
Jorge Jesus,14,11,6,14,15,13,7,1954-07-24
Sandro Schwarz,14,11,7,12,14,11,15,1978-10-17
Jagoba Arrasate,14,14,13,14,13,13,18,1978-04-22
Michael Wimmer,9,9,2,9,11,9,18,1980-07-02
Jorge Almiron,14,11,2,10,12,13,7,1971-06-19
Pacheta,10,16,6,15,10,10,9,1968-03-23
Enrico Maassen,16,9,8,9,15,8,16,1984-03-10
Ivan Juric,14,15,14,14,15,13,16,1975-08-25
Bo Svensson,12,15,4,13,14,11,17,1979-08-04
Olivier Pantaloni,7,12,15,12,12,5,12,1966-12-13
Thomas Reis,12,10,5,8,11,12,15,1973-10-04
Omer Erdogan,14,9,8,10,14,12,12,1977-05-03
Luca Gotti,12,14,8,13,15,15,14,1967-09-13
Dejan Stankovic,13,9,10,12,12,15,13,1978-09-11
Nuri Sahin,12,10,7,10,12,9,14,1988-09-05
Javier Aguirre,8,18,18,18,13,10,16,1958-12-01
Julien Stephan,13,11,1,13,15,12,15,1980-09-18
Riza Calimbay,11,11,5,16,9,5,9,1963-02-02
Ole Werner,15,12,5,8,11,11,14,1988-05-04
Davide Nicola,10,16,8,16,13,9,17,1973-03-05
Gerald Baticle,15,6,1,11,11,13,16,1969-09-10
Will Still,8,8,8,7,15,8,11,1992-10-14
Regis Le Bris,12,12,7,10,15,13,17,1975-12-06
Bruno Grougi,9,7,2,9,8,9,11,1983-04-26
Marco Baroni,11,16,13,14,12,10,14,1963-09-11
Vincenzo Montella,13,11,13,12,15,12,13,1974-06-18
Francesco Farioli,14,9,5,14,8,12,10,1989-04-10
Emre Belozoglu,10,10,2,14,8,8,8,1980-09-07
Raffaele Palladino,10,9,3,7,8,8,16,1984-04-17
Andrea Pirlo,15,10,10,14,11,16,11,1979-05-19
Erol Bulut,8,14,4,12,12,8,8,1975-01-30
Ilhan Palut,10,10,4,14,12,12,8,1976-11-02
Thomas Letsch,12,11,5,13,13,13,15,1968-08-26
Christophe Pelissier,10,12,1,14,12,10,12,1965-10-05
Pascal Gastien,11,12,5,7,10,12,15,1963-12-02
Massimiliano Alvini,9,11,5,13,14,12,14,1970-04-20
Volkan Demirel,10,8,1,9,6,3,5,1981-10-27
Phillipe Montainer,12,10,1,12,13,10,14,1964-11-15
Hakan Keles,13,12,6,9,6,12,14,1972-01-08
Senol Can,8,8,4,9,12,8,14,1983-03-03
Cagdas Atan,12,12,1,10,14,7,10,1980-02-29
Recep Ucar,8,11,2,7,14,7,10,1975-10-20
Sergen Yalcin,15,6,1,2,13,13,12,1972-10-05
Valerien Ismael,13,13,16,7,12,13,15,1975-09-28
